2021-Jul-22 16:55:42 [RMI TCP Connection(20)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
2021-Jul-22 16:55:42 [RMI TCP Connection(20)-127.0.0.1] INFO  o.s.s.c.ThreadPoolTaskExecutor                     - Shutting down ExecutorService 'threadPoolTaskExecutor'
2021-Jul-22 16:55:42 [RMI TCP Connection(20)-127.0.0.1] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean     - Closing JPA EntityManagerFactory for persistence unit 'default'
2021-Jul-22 16:55:43 [RMI TCP Connection(20)-127.0.0.1] WARN  o.s.b.f.s.DisposableBeanAdapter                    - Invocation of destroy method failed on bean with name 'inMemoryDatabaseShutdownExecutor': org.h2.jdbc.JdbcSQLNonTransientConnectionException: Database is already closed (to disable automatic closing at VM shutdown, add ";DB_CLOSE_ON_EXIT=FALSE" to the db URL) [90121-200]
2021-Jul-22 16:55:43 [RMI TCP Connection(20)-127.0.0.1] INFO  c.z.h.HikariDataSource                             - HikariPool-1 - Shutdown initiated...
2021-Jul-22 16:55:43 [RMI TCP Connection(20)-127.0.0.1] INFO  c.z.h.HikariDataSource                             - HikariPool-1 - Shutdown completed.
2021-Jul-22 16:55:53 [restartedMain] INFO  i.s.d.t.TodoAppApplication                         - Starting TodoAppApplication on DESKTOP-84GIE8L with PID 8856 (D:\projects\spring\spring-part-3\todo-app\target\classes started by prathap.a in D:\projects\spring\spring-part-3\todo-app)
2021-Jul-22 16:55:53 [restartedMain] INFO  i.s.d.t.TodoAppApplication                         - No active profile set, falling back to default profiles: default
2021-Jul-22 16:55:53 [restartedMain] INFO  o.s.b.d.r.ChangeableUrls                           - The Class-Path manifest attribute in C:\Users\prathap.a\.m2\repository\org\glassfish\jaxb\jaxb-runtime\2.3.2\jaxb-runtime-2.3.2.jar referenced one or more files that do not exist: file:/C:/Users/prathap.a/.m2/repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/jakarta.xml.bind-api-2.3.2.jar,file:/C:/Users/prathap.a/.m2/repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/txw2-2.3.2.jar,file:/C:/Users/prathap.a/.m2/repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/istack-commons-runtime-3.0.8.jar,file:/C:/Users/prathap.a/.m2/repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/stax-ex-1.8.1.jar,file:/C:/Users/prathap.a/.m2/repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/FastInfoset-1.2.16.jar,file:/C:/Users/prathap.a/.m2/repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/jakarta.activation-api-1.2.1.jar
2021-Jul-22 16:55:53 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor    - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2021-Jul-22 16:55:53 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor    - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2021-Jul-22 16:55:53 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate          - Bootstrapping Spring Data repositories in DEFAULT mode.
2021-Jul-22 16:55:53 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate          - Finished Spring Data repository scanning in 36ms. Found 4 repository interfaces.
2021-Jul-22 16:55:54 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-Jul-22 16:55:54 [restartedMain] INFO  o.s.b.w.e.t.TomcatWebServer                        - Tomcat initialized with port(s): 8080 (http)
2021-Jul-22 16:55:54 [restartedMain] INFO  o.a.c.h.Http11NioProtocol                          - Initializing ProtocolHandler ["http-nio-8080"]
2021-Jul-22 16:55:54 [restartedMain] INFO  o.a.c.c.StandardService                            - Starting service [Tomcat]
2021-Jul-22 16:55:54 [restartedMain] INFO  o.a.c.c.StandardEngine                             - Starting Servlet engine: [Apache Tomcat/9.0.27]
2021-Jul-22 16:55:54 [restartedMain] INFO  o.a.c.c.C.[.[.[/]                                  - Initializing Spring embedded WebApplicationContext
2021-Jul-22 16:55:54 [restartedMain] INFO  o.s.w.c.ContextLoader                              - Root WebApplicationContext: initialization completed in 1154 ms
2021-Jul-22 16:55:54 [restartedMain] INFO  c.z.h.HikariDataSource                             - HikariPool-1 - Starting...
2021-Jul-22 16:55:54 [restartedMain] INFO  c.z.h.HikariDataSource                             - HikariPool-1 - Start completed.
2021-Jul-22 16:55:54 [restartedMain] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration               - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:tododb'
2021-Jul-22 16:55:55 [restartedMain] INFO  o.h.j.i.u.LogHelper                                - HHH000204: Processing PersistenceUnitInfo [name: default]
2021-Jul-22 16:55:55 [restartedMain] INFO  o.h.Version                                        - HHH000412: Hibernate Core {5.4.8.Final}
2021-Jul-22 16:55:55 [restartedMain] INFO  o.h.a.c.Version                                    - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2021-Jul-22 16:55:55 [restartedMain] INFO  o.h.d.Dialect                                      - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
